Fund Name,Category,NAV,Risk Rating
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan XV),Fixed Rate / Return (Annualized Return),106.3492,AAA(f)
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan XVI),Fixed Rate / Return (Annualized Return),106.4486,
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan XVIII),Fixed Rate / Return (Annualized Return),105.2504,
JS Fixed Term Munafa Fund II (JS Fixed Term Munafa Plan I),Fixed Rate / Return (Annualized Return),106.6101,
JS Fixed Term Munafa Fund II (JS Fixed Term Munafa Plan IV),Fixed Rate / Return (Annualized Return),103.152,
JS Fixed Term Munafa Fund II (JS Fixed Term Munafa Plan V),Fixed Rate / Return (Annualized Return),101.0485,
JS Fixed Term Munafa Fund II (JS Fixed Term Munafa Plan VI),Fixed Rate / Return (Annualized Return),102.0374,
MCB DCF Fixed Return III (Plan IV),Fixed Rate / Return (Annualized Return),106.0052,
MCB DCF Fixed Return III (Plan X),Fixed Rate / Return (Annualized Return),105.275,
MCB DCF Fixed Return Plan VIII,Fixed Rate / Return (Annualized Return),105.7188,
MCB Pakistan Fixed Return Plan 25,Fixed Rate / Return (Annualized Return),102.8813,
MCB Pakistan Fixed Return Plan 26,Fixed Rate / Return (Annualized Return),102.2219,
MCB Pakistan Fixed Return Plan 27,Fixed Rate / Return (Annualized Return),101.457,
NBP Fixed Term Munafa Plan XIIA (NBP Mustahkam Fund II),Fixed Rate / Return (Annualized Return),10.0795,
NBP Fixed Term Munafa Plan XIII (NBP Mustahkam Fund II),Fixed Rate / Return (Annualized Return),10.2898,
NBP Fixed Term Munafa Plan XIVA (NBP Mustahkam Fund II),Fixed Rate / Return (Annualized Return),10.1656,
NBP Fixed Term Munafa Plan XIX,Fixed Rate / Return (Annualized Return),10.5702,
NBP Fixed Term Munafa Plan XVIA (NBP Mustahkam Fund II),Fixed Rate / Return (Annualized Return),10.1105,
NBP Fixed Term Munafa Plan XVIIA (NBP Mustahkam Fund II),Fixed Rate / Return (Annualized Return),10.0676,
NBP Fixed Term Munafa Plan XVIIIA (NBP Mustahkam Fund II),Fixed Rate / Return (Annualized Return),10.2152,
UBL Fixed Return Plan I (U),Fixed Rate / Return (Annualized Return),105.7249,
UBL Fixed Return Plan II (AB),Fixed Rate / Return (Annualized Return),105.3288,
UBL Fixed Return Plan II (M),Fixed Rate / Return (Annualized Return),106.6256,
UBL Fixed Return Plan III (X),Fixed Rate / Return (Annualized Return),105.6249,
UBL Fixed Return Plan III (Y),Fixed Rate / Return (Annualized Return),101.3757,
UBL Fixed Return Plan III (Z),Fixed Rate / Return (Annualized Return),104.5518,
UBL Fixed Return Plan IV (G),Fixed Rate / Return (Annualized Return),105.0204,
UBL Fixed Return Plan IV (K),Fixed Rate / Return (Annualized Return),105.0504,
UBL Fixed Return Plan IV (M),Fixed Rate / Return (Annualized Return),105.3268,
UBL Fixed Return Plan IV (O),Fixed Rate / Return (Annualized Return),105.2059,
AKD Aggressive Income Fund,Aggressive Fixed Income (Annualized Return),58.9068,A+(f)
Alfalah GHP Income Multiplier Fund,Aggressive Fixed Income (Annualized Return),61.155,A+(f)
Alfalah Income & Growth Fund  (Formerly: Faysal Income & Growth Fund),Aggressive Fixed Income (Annualized Return),122.117,A(f)
Askari High Yield Scheme,Aggressive Fixed Income (Annualized Return),108.0157,A(f)
MCB Investment Savings Plan I,Aggressive Fixed Income (Annualized Return),106.606,AA+(f)
Pakistan Income Enhancement Fund,Aggressive Fixed Income (Annualized Return),57.831,A+(f)
UBL Growth & Income Fund,Aggressive Fixed Income (Annualized Return),90.1966,A+(f)
HBL Multi Asset Fund,Balanced (Absolute Return),227.2349,
NBP Balanced Fund,Balanced (Absolute Return),44.047,
Pakistan Capital Market Fund,Balanced (Absolute Return),31.49,
Unit Trust of Pakistan,Balanced (Absolute Return),451.61,
ABL Optimal Asset Allocation Fund,Asset Allocation (Absolute Return),10.6113,
AL Habib Asset Allocation Fund,Asset Allocation (Absolute Return),130.7238,
Alfalah Asset Allocation Fund (Formerly: Faysal Asset Allocation Fund),Asset Allocation (Absolute Return),79.498,
Alfalah Financial Value Fund (Alfalah Financial Value Plan I),Asset Allocation (Absolute Return),145.1375,
Alfalah Financial Value Fund - II (Formerly Faysal Financial Value Fund),Asset Allocation (Absolute Return),110.3309,
Alfalah GHP Value Fund,Asset Allocation (Absolute Return),93.3555,
Allied Finergy Fund,Asset Allocation (Absolute Return),16.9868,
Lakson Asset Allocation Developed Markets Fund,Asset Allocation (Absolute Return),192.0928,
Lakson Tactical Fund,Asset Allocation (Absolute Return),110.4176,
MCB Pakistan Asset Allocation Fund,Asset Allocation (Absolute Return),245.8653,
MCB Pakistan Opportunity Fund (MCB Pakistan  Dividend Yield Plan),Asset Allocation (Absolute Return),362.5314,
NBP Sarmaya Izafa Fund,Asset Allocation (Absolute Return),42.1967,
NIT Asset Allocation Fund,Asset Allocation (Absolute Return),20.7834,
Pak Oman Advantage Asset Allocation Fund,Asset Allocation (Absolute Return),50.6841,
UBL Asset Allocation Fund,Asset Allocation (Absolute Return),342.0329,
ABL Financial Planning Fund (Conservative Plan),Fund of Funds (Absolute Return),118.7124,
ABL Financial Planning Fund (Strategic Allocation Plan),Fund of Funds (Absolute Return),102.7799,
Alfalah GHP Prosperity Planning Fund (Alfalah GHP Active Allocation Plan),Fund of Funds (Absolute Return),126.9899,
Alfalah GHP Prosperity Planning Fund (Alfalah GHP Conservative Allocation Plan),Fund of Funds (Absolute Return),120.3338,
Alfalah GHP Prosperity Planning Fund (Alfalah GHP Moderate Allocation Plan),Fund of Funds (Absolute Return),115.2452,
Alfalah GHP Prosperity Planning Fund (Capital Preservation Plan IV),Fund of Funds (Absolute Return),115.8572,
Alfalah Strategic Allocation Fund Plan - I,Fund of Funds (Absolute Return),130.5377,
JS Fund of Funds,Fund of Funds (Absolute Return),140.8,
AKD Index Tracker Fund,Index Tracker (Absolute Return),42.7459,
ABL Islamic Cash Fund,Shariah Compliant Money Market (Annualized Return),10.0877,AA+(f)
ABL Islamic Money Market Plan I,Shariah Compliant Money Market (Annualized Return),10.5241,AA+(f)
AKD Islamic Cash Fund (Formerly AKD Islamic Daily Dividend Fund),Shariah Compliant Money Market (Annualized Return),51.6988,AA(f)
Al Ameen Islamic Cash Fund,Shariah Compliant Money Market (Annualized Return),106.2953,AA+(f)
Al Ameen Islamic Cash Plan I,Shariah Compliant Money Market (Annualized Return),105.6448,AA+(f)
AL Habib Islamic Cash Fund,Shariah Compliant Money Market (Annualized Return),105.2857,AA+(f)
Alfalah Islamic Money Market Fund,Shariah Compliant Money Market (Annualized Return),105.4355,AA(f)
Alfalah Islamic Rozana Amdani Fund,Shariah Compliant Money Market (Annualized Return),100.0,AA(f)
Alhamra Cash Management Optimizer,Shariah Compliant Money Market (Annualized Return),105.5007,AA(f)
Alhamra Islamic Money Market Fund,Shariah Compliant Money Market (Annualized Return),99.51,AA+(f)
Atlas Islamic Cash Fund,Shariah Compliant Money Market (Annualized Return),526.8621,AA(f)
Atlas Islamic Money Market Fund,Shariah Compliant Money Market (Annualized Return),531.4825,AA(f)
AWT Islamic Money Market Fund (Formerly: AWT Money Market Fund),Shariah Compliant Money Market (Annualized Return),123.9256,AA+(f)
Faysal Halal Amdani Fund,Shariah Compliant Money Market (Annualized Return),106.6811,AA(f)
Faysal Islamic Cash Fund,Shariah Compliant Money Market (Annualized Return),104.8173,AA(f)
HBL Islamic Money Market Fund,Shariah Compliant Money Market (Annualized Return),106.5387,AA+(f)
